Time,Screen Name,Tweet,RT,Followers
0:05:42,@Shamrock1897,RT @Network_Citizen: MT @MissyBash: Obama is lying. Economy is tanking. This time it's not Bush's fault. https://t.co/FuXioFC3zT #WakeUpAme…,24,808
0:05:51,@moniquesourdif,RT @SpecialKMB1969: The MSM & the Left hell I wouldn't be surprised if the #GOP Elites are behind it as well! #WakeUpAmerica #VOTETRUMP htt…,11,637
0:05:53,@ChocChip52,RT @Stonewall_77: NO HEARING FOR GARLAND 🇺🇸🇺🇸🇺🇸🇺🇸 #WeThePeople #GOP(e) #WakeUpAmerica #tcot #SCOTUSnominee #SCOTUS #NRA #2A #Veterans https…,217,431
0:05:58,@Donnie4Prez,RT @kbrz_z: @EWErickson and the Cuckservatives... #AlwaysTrump #Trump2016 #WakeUpAmerica #DumpTheEstabishment @Ricky_Vaughn99 https://t.co…,25,138
0:06:00,@tonygreene113,RT @Network_Citizen: MT @MissyBash: Obama is lying. Economy is tanking. This time it's not Bush's fault. https://t.co/FuXioFC3zT #WakeUpAme…,24,3308
0:06:13,@FEIHU69,RT @Stonewall_77: NO HEARING FOR GARLAND 🇺🇸🇺🇸🇺🇸🇺🇸 #WeThePeople #GOP(e) #WakeUpAmerica #tcot #SCOTUSnominee #SCOTUS #NRA #2A #Veterans https…,217,1234
0:06:32,@zroadruner,Speaker… His Reponse Left the students Jaws On The Floor after the interrupted him WOW #WakeUpAmerica https://t.co/HZIq70r6EX,0,1376
0:06:38,@DukeofEarlDD,RT @phil200269: This Could Be Our Last Chance To Save What's Left of America. #MAGA #Trump2016 #AZPrimary #WakeUpAmerica https://t.co/NuV…,49,438
0:06:49,@PIX2CLICK,RT @Network_Citizen: MT @Babbsgirl2: Obama has done more to hurt the American people than any president in history. https://t.co/iG9wryw5T6…,5,1024
0:07:02,@AIGTeacher,RT @beachwaves22: Biased media gives ONLY their view! #WakeUpAmerica #Trump2016 https://t.co/SsAJ6f2kDu,1,54
0:07:02,@YDP,RT @Stonewall_77: NO HEARING FOR GARLAND 🇺🇸🇺🇸🇺🇸🇺🇸 #WeThePeople #GOP(e) #WakeUpAmerica #tcot #SCOTUSnominee #SCOTUS #NRA #2A #Veterans https…,217,19947
0:07:16,@Patriotvnvet,"RT @Stonewall_77: NOT JUST NO, BUT HELL NO! #WeThePeople #GOP(e) #WakeUpAmerica #TrumpTrain # https://t.co/bKzs2RIkaQ",210,4083
0:07:20,@kristieJ2007,RT @phil200269: This Could Be Our Last Chance To Save What's Left of America. #MAGA #Trump2016 #AZPrimary #WakeUpAmerica https://t.co/NuV…,49,1389
0:07:24,@MichaelRofe1,"RT @jstines3: Latest ploy to ""CONTROL GUNS"" is to reduce SUICIDE! Outlawing razor blades? #2A #WakeUpAmerica #PJNET #TCOT https://t.co/z…",55,74
0:07:28,@JennyLewis23,RT @jstines3: WISDOM... Pray for God's wisdom in ALL things! #RenewUS #WakeUpAmerica #TCOT #PJNET #CCOT https://t.co/pegamSjS7V,4,647
0:07:28,@cecilf40,RT @RedRising11: Obama Hikes Post-Presidency Payments. WTH?! What a POS @POTUS is! #RedNationRising #WakeUpAmerica #PJNET #TCOT #CCOT https…,26,1121
0:07:40,@DebbieAnnOliver,"RT @Network_Citizen: MT @phil200269: If POTUS Can Override Constitution, What's The Point of Having A Constitution? https://t.co/8MFNWaZk28…",5,462
0:07:41,@RightAsRain7,RT @Quackenbush88: @loudobbsnews Who the hell would vote for cheating the voters?? #WakeUpAmerica,1,173
0:07:55,@ChalonCollins,@pashaterri @RonnieRSR1 @karwilson8046 #WakeUpAmerica,0,2110
0:08:07,@McCluskyJoe,RT @Network_Citizen: MT @Babbsgirl2: Obama has done more to hurt the American people than any president in history. https://t.co/iG9wryw5T6…,5,746
0:08:09,@theeleanordavis,"RT @2ANow: MT Millions of NEW Immigrants Each year, While 16 million Jobless https://t.co/kFzyEdxr9f #WakeUpAmerica #PJNET MrsP (@MrsPJNET)",15,4350
0:08:16,@icetruckkilluh,"Y'all are complaining about illegal immigrants, but there are people in this country that eat salad with their fingers. #wakeupamerica",0,63
0:08:18,@GunsNLoaded,RT @SpecialKMB1969: The MSM & the Left hell I wouldn't be surprised if the #GOP Elites are behind it as well! #WakeUpAmerica #VOTETRUMP htt…,11,42
0:08:19,@medford_mark,"RT @Stonewall_77: NOT JUST NO, BUT HELL NO! #WeThePeople #GOP(e) #WakeUpAmerica #TrumpTrain # https://t.co/bKzs2RIkaQ",210,1063
0:08:22,@timhallman1_tim,RT @Florida_Patriot: Jean-Claude Van Damme calls out Rothschild and Rockefeller on live TV #WakeUpAmerica https://t.co/SjJnjedr3P via,1,93
0:08:28,@Bahsman,Cut your nose off to spite your face? Trump is wreck-less and apparently some of his robots #WakeUpAmerica https://t.co/chDVD9VOtQ,0,234
