Time,Screen Name,Tweet,RT,Followers
2:01:00,@Thush264,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2473,76
2:02:00,@zakchezney,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2473,2643
3:00:00,@Pcrawls,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2670,558
3:00:00,@georgiegirl1216,RT @JudgeMoroz: The Reagan Legacy lives on with each & every Vote for @realDonaldTrump ... Let's #MakeAmericaGreatAgain! 🇺🇸 https://t.co…,55,232
3:00:00,@DinoFancellu,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2670,1736
3:00:00,@ESantorini,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2670,15
3:00:00,@StagePlaywright,RT @realDonaldTrump: Heading to Phoneix. Will be arriving soon. Tomorrow a big day. Tremendous crowds expected! #Trump2016 #MakeAmericaGrea…,1789,626
3:00:00,@WyattAmazing,RT @realDonaldTrump: Join me tomorrow! #Trump2016 #MakeAmericaGreatAgain https://t.co/1Yak4I5B7b,2393,59
3:01:00,@twgforceone,#Trump #MakeAmericaGreatAgain #UT #UniteBlue https://t.co/3Jcin76ZGY,0,271
3:01:00,@ZnaTrainer,RT @DanScavino: Utah Republicans Open Caucuses to Online Voters. #VoteTrump #Trump2016 #MakeAmericaGreatAgain https://t.co/SXPjav5vKh,378,44561
3:01:00,@Win_Freedom,"RT @DanScavino: Reuters National GOP Poll Looks like another broken ""CEILING!"" #MakeAmericaGreatAgain #Trump2016 https://t.co/HEhDIbRf5T",563,175
3:01:00,@jhead77,RT @DanScavino: We are approaching UTAH! Get out & #VoteTrump on Tuesday! @realDonaldTrump will #MakeAmericaGreatAgain! #Trump2016 https:/…,592,286
3:01:00,@BerkowitzAnne,RT @TRUMPHIANT2016: #MarchMadness but sane endorsement of @realDonaldTrump #MakeAmericaGreatAgain #TrumpTrain #TeamTrump #WeAreTrump https:…,2,662
3:01:00,@land_joe,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2670,321
3:02:00,@eikes17,RT @Zackary_Scott: Phoenix* #MakeAmericaGreatAgain https://t.co/X920sYkrXU,1,261
3:02:00,@RelativeAmerica,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2670,317
4:00:00,@asyoureadthis,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2989,2134
4:00:00,@day_henao,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2989,147
4:01:00,@bydefault,RT @RaznCA: This made me smile... #Trump2016 #TrumpTrain #MakeAmericaGreatAgain #NEVERCRUZ https://t.co/uqDbb7OMNQ,6,435
4:01:00,@trump_world,Start spreading the news! Trump 65% in NY! @realDonaldTrump will #MakeAmericaGreatAgain #Trump2016 https://t.co/J2UyXULGta,0,7717
4:01:00,@KDScioscia,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2988,6271
4:01:00,@kathyca912,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2989,104
4:01:00,@BlossomandBev,RT @realDonaldTrump: Heading to Phoneix. Will be arriving soon. Tomorrow a big day. Tremendous crowds expected! #Trump2016 #MakeAmericaGrea…,1918,3097
4:01:00,@dejrabel,RT @realDonaldTrump: Thank you Arizona- I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/fTzaIvTX9b,4718,1799
4:01:00,@FredFredlopez8,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2989,63
4:02:00,@k9dobny,RT @realDonaldTrump: Heading to Phoneix. Will be arriving soon. Tomorrow a big day. Tremendous crowds expected! #Trump2016 #MakeAmericaGrea…,1918,305
5:00:00,@DameonHuber,RT @WeNeedTrump: 87% of voters believe Trump will be nominee. #MakeAmericaGreatAgain https://t.co/Sv1uCfjODY,91,17
5:00:00,@joeygilbertinc,RT @LindaSuhler: Please Caucus For Trump #Utah ✔️ VOTE #Trump2016 #UtahForTrump #UTCaucus #UtahCaucus #MakeAmericaGreatAgain https://t.co/…,179,78871
5:00:00,@CowboyUp1930,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3385,1424
5:00:00,@oxbrennanxo,RT @JOHNCOSSEL: 10yrs b4 patriot @snowden #truth on #4a rights violations mayb Xfiles inspired him2 #MakeAmericaGreatAgain #cfinc https://t…,1,1193
5:00:00,@LMM1952,"RT @DanScavino: LIVE on #Periscope: DONALD J. TRUMP RALLY, Salt Lake City, Utah. #VoteTrump #Trump2016 #MakeAmericaGreatAgain https://t.co…",367,3644
5:00:00,@connnutmeg,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3385,1756
5:00:00,@SqlAgent01,RT @DanScavino: Join @RealSheriffJoe & #TeamTrump! Hop aboard the #TrumpTrain and lets #MakeAmericaGreatAgain! #Trump2016 https://t.co/0oO…,858,146
5:00:00,@Helen571162721,#makeamericagreatagain https://t.co/7QOonb1eI9,0,454
5:00:00,@EPS1991,RT @healthandcents: Good night all! 🇺🇸 😴 Thanks for RT & follows to help #MakeAmericaGreatAgain https://t.co/Z0Vg3KGCop,24,3872
5:00:00,@SqlAgent01,"RT @NYC4TRUMP2016: Jorge Ramos hates Trump so much, it's awesome #Trump2016 #MakeAmericaGreatAgain",18,146
5:00:00,@Imperfect10n,"RT @realDonaldTrump: Thank you, Florida! #SuperTuesday #MakeAmericaGreatAgain #Trump2016 https://t.co/nzhnLQXrZg",10743,212
5:00:00,@malski1954,RT @PRESlDENT_TRUMP: Trump is going to #MakeAmericaGreatAgain,38,627
5:00:00,@Turner2Nate,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3385,180
5:00:00,@BryanBlakeCox,RT @JudgeMoroz: Not since President Reagan has the @GOP been so poised to #MakeAmericaGreatAgain as it is with @realDonaldTrump 🇺🇸 https://…,3,2688
5:00:00,@sareed59,RT @keksec__org: @realDonaldTrump I'm Dutch and Europe wants you to be the U.S. president! #MakeAmericaGreatAgain https://t.co/90ZpK5dp5C,21,1259
5:00:00,@Thunder103093,We can really #MakeAmericaGreatAgain by kicking out all the fucking stupid right wingers!,0,109
5:01:00,@47PatriotFI,RT @philbo777: TO ALL THE HATERS THAT HAVE TRIED TO DESTROY THIS MOVEMENT!! #SuperTuesday #AlwaysTrump #MakeAmericaGreatAgain https://t.co/…,115,862
5:01:00,@bluestarwindow,#Trump #Trump2016 #Utah #UtahPrimary #MakeAmericaGreatAgain #AlwaysTrump https://t.co/H93yDZfold,1,1218
5:01:00,@Helen571162721,#makeamericagreatagain https://t.co/Y1tlltWPF4,0,454
5:01:00,@askme1x,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3385,135
5:01:00,@SqlAgent01,RT @NYC4TRUMP2016: Boss #Trump2016 #MakeAmericaGreatAgain https://t.co/aHMeUUvtvL,10,146
5:01:00,@TimHuds02462029,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3385,24
5:01:00,@endo_lee,RT @realDonaldTrump: Heading to Phoneix. Will be arriving soon. Tomorrow a big day. Tremendous crowds expected! #Trump2016 #MakeAmericaGrea…,2061,385
5:01:00,@ync1994,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3385,2200
5:01:00,@Thomas__Art,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,3385,518
5:01:00,@AynsFriend,TWO COMMIE SHITBAGS #ObamaCuba #MakeAmericaGreatAgain https://t.co/hQh3E16Et5,0,1946
