Time,Screen Name,Tweet,RT
1:01:00,@oilman999999999,RT @realDonaldTrump: Heading to Phoneix. Will be arriving soon. Tomorrow a big day. Tremendous crowds expected! #Trump2016 #MakeAmericaGrea…,1617
1:01:00,@88pianojll,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2312
1:01:00,@oilman999999999,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2312
2:00:00,@Salem_2520,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2473
2:01:00,@Odedukw,RT @yueyuea: https://t.co/asLD9mZXMz Drive through Paris SHARE IT #Refugees Coming to Rodeo Drive & 5th Avenue #WakeUpAmerica #MakeAmeric…,31
2:01:00,@sharon8191962,RT @RandyBohlke: I know I've found the right Guy for the job. #Trump2016 #MakeAmericaGreatAgain #AlwaysTrump #TrumpTrain https://t.co/nHyr…,5
2:01:00,@GentryLaura,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2473
2:01:00,@sadpixesl,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2473
2:01:00,@sharon8191962,RT @RandyBohlke: This is how bad the #Establishment is they will go after a man's family! #Trump2016 #MakeAmericaGreatAgain https://t.co/…,5
2:01:00,@zaprunner,RT @realDonaldTrump: Heading to Phoneix. Will be arriving soon. Tomorrow a big day. Tremendous crowds expected! #Trump2016 #MakeAmericaGrea…,1711
2:01:00,@sfhopper,RT @Mike_Beacham: DO NOT BRING THEM HERE #STOPtheMuslimINVASION PROTECT AMERICA #MakeAmericaGreatAgain #SecureOurBorders VOTE 2016 http…,18
2:01:00,@daddy_epic_bae,"RT @DanScavino: DONALD J. TRUMP Presidential RALLY! Salt Lake City, Utah. #VoteTrump #Trump2016 #MakeAmericaGreatAgain https://t.co/XcZKN0O…",510
2:01:00,@charliebown305,RT @realDonaldTrump: Heading to Phoneix. Will be arriving soon. Tomorrow a big day. Tremendous crowds expected! #Trump2016 #MakeAmericaGrea…,1711
2:01:00,@Thush264,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,2473
