Time,Screen Name,Tweet,RT,Followers
0:02:00,@_brianna09,RT @richyfeIix: #FEELTHEBERN TUCSON!!! ❤️ https://t.co/3gJElgf6JW,5,232
0:02:00,@maimmee,Here he comes to save the daaay... 💪🏼🔥 #FeelTheBern https://t.co/4hUtV6B1R7,0,1736
0:02:00,@VictorB836,RT @TweetingYarnie: GOP wants to cut benefits in half of Veterans. Tell them NO! #FeelTheBern #DefendTheGIBill https://t.co/b9yCW0rDEm htt…,45,15
0:02:00,@marthaflores_,RT @EmanMeh: Phoenix* Is a big day* Protestors expected* #Bernie2016* #FeelTheBern* https://t.co/81I5JyP26S,64,626
0:02:00,@drwhovian51,@HillaryClinton https://t.co/Vfnhw99VJM stahp... #WhichHillary? #StillSanders #FeelTheBern https://t.co/9kwGmirZEc,0,59
0:02:00,@Wild_Card09,RT @JMP_Mulcahy: FREE AUTO BODY REPAIR SCHOOL #FeelTheBern,3,271
0:02:00,@_brianna09,RT @maria_jose11999: #FeelTheBern please go out and vote for Bernie on Tuesday! https://t.co/Stt5IrVr8S,2,44561
0:02:00,@filthypinhead,RT @richyfeIix: #FEELTHEBERN TUCSON!! WE STAND WITH YOU BERNIE! ❤️,7,175
0:02:00,@ReasonBrigade,"RT @Thisistheplace1: Just got the official count 14,000 people came to This Is The Place to see #BernieSanders! #FeelTheBern #Bernie2016 ht…",13,286
0:02:00,@jamescipriano,RT @NCForBernie: This is important info for independent voters in upcoming elections. Please Re-tweet. #FeelTheBern #Bernie2016 https://t.c…,356,662
0:02:00,@RealHClinton,#FeelTheBern #whichhillary #BernieOrBust #Bernie2016 #BernieForThePeople #stillsanders #ReleaseTheTranscripts https://t.co/wv37W35RVy,0,321
0:02:00,@swermpls,RT @Libertea2012: It’s time for a single-payer health care system in America. #Bernie2016 #FeelTheBern https://t.co/Y3ajphoCkp https://t.co…,13,261
0:02:00,@keyserlynnv,#StillSanders #AlwaysSanders #FeelTheBern #NeverHillary #UTPrimary https://t.co/3B5HoLX20t,0,317
0:02:00,@Astro_journey,America is an oligarchy. #WeNotMe can stop this. #FeelTheBern #PoliticalRevolution #CitizensUnited @SenSanders https://t.co/PNkm5r2tAi,0,2134
0:02:00,@miriam0329,RT @Libertea2012: Integrity cannot be bought. Support Bernie Sanders! #FeelTheBern #UniteBlue #1u https://t.co/6m6XnV1wTq https://t.co/4kbh…,8,147
0:02:00,@BernieEventsOC,RT @BenJealous: Utah. Today. #FeelTheBern https://t.co/4IQGmisC9b,160,435
